SAN,2005/05,51,1117,11,6333
SEA,2005/05,100,2383,12,6270
SFO,2005/05,98,2217,13,8626
SLC,2005/05,148,1480,11,12183
TPA,2005/05,21,1059,4,5506
ATL,2005/06,1148,10986,53,25022
BOS,2005/06,323,2663,4,7701
BWI,2005/06,113,2084,37,6756
CLT,2005/06,212,2208,48,7627
DCA,2005/06,256,1881,32,6789
DEN,2005/06,135,3310,70,13438
DFW,2005/06,182,4616,29,21253
DTW,2005/06,218,2485,42,9013
EWR,2005/06,508,4439,87,8113
FLL,2005/06,36,1687,28,3799
IAD,2005/06,313,2926,26,7478
IAH,2005/06,68,2214,9,15943
JFK,2005/06,130,2677,61,5738
LAS,2005/06,84,3226,4,10648
LAX,2005/06,185,4057,14,15283
LGA,2005/06,511,2993,114,7066
MCO,2005/06,33,2423,36,7125
MDW,2005/06,47,1480,14,6490
MIA,2005/06,58,1663,57,3658
MSP,2005/06,113,2897,57,9257
ORD,2005/06,640,7643,53,19420
PDX,2005/06,22,1259,2,3432
PHL,2005/06,329,3319,74,7116
PHX,2005/06,102,2633,9,11802
SAN,2005/06,47,1661,7,5859
SEA,2005/06,156,3203,27,6090
SFO,2005/06,113,2978,6,7992
SLC,2005/06,156,2203,10,11491
TPA,2005/06,24,1566,28,4809
ATL,2005/07,1793,13699,334,21758
BOS,2005/07,330,3269,7,7298
BWI,2005/07,109,2593,23,6469
CLT,2005/07,195,2703,25,7276
DCA,2005/07,304,2473,32,6222
DEN,2005/07,178,3323,35,14453
DFW,2005/07,576,7741,159,18923
DTW,2005/07,409,3088,42,8683
EWR,2005/07,653,5400,84,7355
FLL,2005/07,36,1827,10,3910
IAD,2005/07,349,3245,22,7536
IAH,2005/07,367,4274,205,13819
JFK,2005/07,162,3738,47,5238
LAS,2005/07,101,3410,35,10789
LAX,2005/07,218,3910,8,16038
LGA,2005/07,533,3606,86,6573
